MES_REF,ID_PROD_UNID_FAT_PAI,COD_PROD_PAI,ID_PROD_UNID_FAT_FILHO,COD_PROD_FILHO,UNID_FILHO,QTD_PAI_FINAL,QTD_UTIL_EFETIVA,QTD_FILHO_ESTRUTURAL_ESPERADA_BRUTA,ESTOQUE_ESTRUTURAL_CONSUMIDO,QTD_FILHO_ESTRUTURAL_ESPERADA_LIQ,QTD_FILHO_ESTRUTURAL_ALOCADA,DIF,STATUS_FECHAMENTO
2026-08-01,AGO26|MATRIZ|2090503,2090503,AGO26|Matriz|2090603PO,2090603PO,Matriz,6045.0,1.0,6045.0,6045.0,0.0,0.0,0.0,OK
2026-08-01,AGO26|NORDESTE|2090503,2090503,AGO26|Matriz|2090603PO,2090603PO,Matriz,3275.0,1.0,3275.0,3275.0,0.0,0.0,0.0,OK
2026-08-01,AGO26|MATRIZ|2090504,2090504,AGO26|Matriz|1777PO-AZ,1777PO-AZ,Matriz,183.3333333333333,1.0,183.3333333333333,183.3333333333333,0.0,0.0,0.0,OK
2026-08-01,AGO26|NORDESTE|2090504,2090504,AGO26|Matriz|1777PO-AZ,1777PO-AZ,Matriz,91.66666666666663,1.0,91.66666666666663,91.66666666666663,0.0,0.0,0.0,OK
2026-08-01,AGO26|MATRIZ|2090654,2090654,AGO26|Matriz|0975,0975,Matriz,571.407867494824,1.0,571.407867494824,571.407867494824,0.0,0.0,0.0,OK
2026-08-01,AGO26|NORDESTE|2090654,2090654,AGO26|Matriz|0975,0975,Matriz,586.592132505176,1.0,586.592132505176,586.592132505176,0.0,0.0,0.0,OK
2026-08-01,AGO26|MATRIZ|2100628,2100628,AGO26|Matriz|2638,2638,Matriz,15.485294117647058,1.0,15.485294117647058,15.485294117647058,0.0,0.0,0.0,OK
2026-08-01,AGO26|NORDESTE|2100628,2100628,AGO26|Matriz|2638,2638,Matriz,10.51470588235294,1.0,10.51470588235294,10.51470588235294,0.0,0.0,0.0,OK
2026-08-01,AGO26|NORDESTE|0212,212,AGO26|Nordeste|0212PI,0212PI,Nordeste,56.0,1.0,56.0,56.0,0.0,0.0,0.0,OK
2026-08-01,AGO26|MATRIZ|0221,221,AGO26|Nordeste|0221PI,0221PI,Nordeste,32.0,1.0,32.0,32.0,0.0,0.0,0.0,OK
2026-08-01,AGO26|NORDESTE|0287,287,AGO26|Nordeste|2260,2260,Nordeste,78950.0,1.0,78950.0,78950.0,0.0,0.0,0.0,OK
2026-08-01,AGO26|NORDESTE|0293,293,AGO26|Nordeste|0293PI,0293PI,Nordeste,112994.99999999999,1.0,112994.99999999999,112994.99999999999,0.0,0.0,0.0,OK
2026-08-01,AGO26|NORDESTE|0331,331,AGO26|Nordeste|0331PI,0331PI,Nordeste,16612.0,1.0,16612.0,16612.0,0.0,0.0,0.0,OK
2026-08-01,AGO26|NORDESTE|0332,332,AGO26|Nordeste|0332PI,0332PI,Nordeste,3850.9999999999995,1.0,3850.9999999999995,3850.9999999999995,0.0,0.0,0.0,OK
2026-08-01,AGO26|NORDESTE|0341,341,AGO26|Nordeste|3126,3126,Nordeste,20136.0,1.0,20136.0,20136.0,0.0,0.0,0.0,OK
2026-08-01,AGO26|MATRIZ|0343,343,AGO26|Nordeste|3125,3125,Nordeste,6786.000000000001,1.0,6786.000000000001,6786.000000000001,0.0,0.0,0.0,OK
2026-08-01,AGO26|NORDESTE|0343,343,AGO26|Nordeste|3125,3125,Nordeste,13554.0,1.0,13554.0,13554.0,0.0,0.0,0.0,OK
2026-08-01,AGO26|NORDESTE|0345,345,AGO26|Nordeste|3103,3103,Nordeste,25202.0,1.0,25202.0,25202.0,0.0,0.0,0.0,OK
2026-08-01,AGO26|NORDESTE|0346,346,AGO26|Nordeste|3148,3148,Nordeste,3000.0,1.0,3000.0,3000.0,0.0,0.0,0.0,OK
2026-08-01,AGO26|MATRIZ|0347,347,AGO26|Nordeste|3222,3222,Nordeste,224.0,1.0,224.0,224.0,0.0,0.0,0.0,OK
2026-08-01,AGO26|NORDESTE|0383,383,AGO26|Nordeste|0383PI,0383PI,Nordeste,52905.0,1.0,52905.0,52905.0,0.0,0.0,0.0,OK
2026-08-01,AGO26|MATRIZ|0384,384,AGO26|Nordeste|0384PI,0384PI,Nordeste,12921.0,1.0,12921.0,12921.0,0.0,0.0,0.0,OK
2026-08-01,AGO26|NORDESTE|0407,407,AGO26|Nordeste|0407PI,0407PI,Nordeste,1640.0,1.0,1640.0,1640.0,0.0,0.0,0.0,OK
2026-08-01,AGO26|NORDESTE|0425,425,AGO26|Nordeste|0425PI,0425PI,Nordeste,8918.0,1.0,8918.0,8918.0,0.0,0.0,0.0,OK
2026-08-01,AGO26|NORDESTE|0426,426,AGO26|Nordeste|0426PI,0426PI,Nordeste,1722.0,1.0,1722.0,1722.0,0.0,0.0,0.0,OK
2026-08-01,AGO26|NORDESTE|0436,436,AGO26|Nordeste|0436PI,0436PI,Nordeste,11664.0,1.0,11664.0,11664.0,0.0,0.0,0.0,OK
2026-08-01,AGO26|MATRIZ|0437,437,AGO26|Nordeste|0437PI,0437PI,Nordeste,3931.0,1.0,3931.0,3931.0,0.0,0.0,0.0,OK
2026-08-01,AGO26|MATRIZ|0438,438,AGO26|Nordeste|0438PI,0438PI,Nordeste,48.98527004909983,1.0,48.98527004909983,48.98527004909983,0.0,0.0,0.0,OK
2026-08-01,AGO26|NORDESTE|0438,438,AGO26|Nordeste|0438PI,0438PI,Nordeste,24.01472995090016,1.0,24.01472995090016,24.01472995090016,0.0,0.0,0.0,OK
2026-08-01,AGO26|NORDESTE|0439,439,AGO26|Nordeste|0439PI,0439PI,Nordeste,2466.0,1.0,2466.0,2466.0,0.0,0.0,0.0,OK
2026-08-01,AGO26|MATRIZ|0450,450,AGO26|Nordeste|0450PI,0450PI,Nordeste,6391.009490940466,1.0,6391.009490940466,6391.009490940466,0.0,0.0,0.0,OK
2026-08-01,AGO26|NORDESTE|0450,450,AGO26|Nordeste|0450PI,0450PI,Nordeste,1438.9905090595341,1.0,1438.9905090595341,1438.9905090595341,0.0,0.0,0.0,OK
2026-08-01,AGO26|NORDESTE|0451,451,AGO26|Nordeste|0451PI,0451PI,Nordeste,158.0,1.0,158.0,158.0,0.0,0.0,0.0,OK
2026-08-01,AGO26|NORDESTE|0455,455,AGO26|Nordeste|0455PI,0455PI,Nordeste,20675.0,1.0,20675.0,20675.0,0.0,0.0,0.0,OK
2026-08-01,AGO26|NORDESTE|0456,456,AGO26|Nordeste|0456PI,0456PI,Nordeste,6491.0,1.0,6491.0,6491.0,0.0,0.0,0.0,OK
2026-08-01,AGO26|MATRIZ|0464,464,AGO26|Nordeste|0464PI,0464PI,Nordeste,5381.742815033162,1.0,5381.742815033162,5381.742815033162,0.0,0.0,0.0,OK
2026-08-01,AGO26|NORDESTE|0464,464,AGO26|Nordeste|0464PI,0464PI,Nordeste,1943.2571849668386,1.0,1943.2571849668386,1943.2571849668386,0.0,0.0,0.0,OK
2026-08-01,AGO26|MATRIZ|0468,468,AGO26|Nordeste|0468PI,0468PI,Nordeste,6706.0,1.0,6706.0,6706.0,0.0,0.0,0.0,OK
2026-08-01,AGO26|NORDESTE|0484,484,AGO26|Nordeste|0484PI,0484PI,Nordeste,63.0,1.0,63.0,63.0,0.0,0.0,0.0,OK
2026-08-01,AGO26|MATRIZ|0488,488,AGO26|Nordeste|0488PI,0488PI,Nordeste,177.73661852166524,1.0,177.73661852166524,177.73661852166524,0.0,0.0,0.0,OK
2026-08-01,AGO26|NORDESTE|0488,488,AGO26|Nordeste|0488PI,0488PI,Nordeste,418.26338147833474,1.0,418.26338147833474,418.26338147833474,0.0,0.0,0.0,OK
2026-08-01,AGO26|MATRIZ|0492,492,AGO26|Nordeste|0492PI,0492PI,Nordeste,10.999999999999998,1.0,10.999999999999998,10.999999999999998,0.0,0.0,0.0,OK
2026-08-01,AGO26|NORDESTE|0540,540,AGO26|Nordeste|2851,2851,Nordeste,127332.0,1.0,127332.0,127332.0,0.0,0.0,0.0,OK
2026-08-01,AGO26|NORDESTE|0540,540,AGO26|Nordeste|2529PI,2529PI,Nordeste,127332.0,2.0,254664.0,254664.0,0.0,0.0,0.0,OK
2026-08-01,AGO26|NORDESTE|0540,540,AGO26|Nordeste|2751,2751,Nordeste,127332.0,1.0,127332.0,127332.0,0.0,0.0,0.0,OK
2026-08-01,AGO26|NORDESTE|0542,542,AGO26|Nordeste|2755,2755,Nordeste,33092.0,1.0,33092.0,33092.0,0.0,0.0,0.0,OK
2026-08-01,AGO26|NORDESTE|0542,542,AGO26|Nordeste|2855,2855,Nordeste,33092.0,1.0,33092.0,33092.0,0.0,0.0,0.0,OK
2026-08-01,AGO26|NORDESTE|0542,542,AGO26|Nordeste|2531,2531,Nordeste,33092.0,2.0,66184.0,66184.0,0.0,0.0,0.0,OK
2026-08-01,AGO26|MATRIZ|0599,599,AGO26|Nordeste|0599PI,0599PI,Nordeste,4403.711507293355,1.0,4403.711507293355,4403.711507293355,0.0,0.0,0.0,OK
2026-08-01,AGO26|NORDESTE|0599,599,AGO26|Nordeste|0599PI,0599PI,Nordeste,3731.2884927066452,1.0,3731.2884927066452,3731.2884927066452,0.0,0.0,0.0,OK
